id,title,authors,language_code,original_publication_year,average_rating,ratings_count,isbn,image_url
1595,Long Walk to Freedom,Nelson Mandela,eng,1994,4.31,43927,316548189,https://images.gr-assets.com/books/1327997342m/318431.jpg
1596,Gray Mountain,John Grisham,eng,2014,3.52,37379,038553714X,https://images.gr-assets.com/books/1403704671m/20707959.jpg
1597,"The Power of One (The Power of One, #1)",Bryce Courtenay,eng,1989,4.34,57312,034541005X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1598,The Maltese Falcon,Dashiell Hammett,eng,1930,3.92,58742,752865331,https://images.gr-assets.com/books/1306421260m/29999.jpg
1599,Night Road,Kristin Hannah,en-US,2011,4.17,58028,312364423,https://images.gr-assets.com/books/1282369257m/8949352.jpg
1600,"Tripwire  (Jack Reacher, #3)",Lee Child,eng,1999,4.07,55251,515128635,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1601,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,eng,1995,3.98,47661,055380491X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1602,"Changes (The Dresden Files, #12)",Jim Butcher,eng,2010,4.54,66402,045146317X,https://images.gr-assets.com/books/1304027244m/6585201.jpg
1603,The Story of Ferdinand,"Munro Leaf, Robert Lawson",,1936,4.35,70961,670674249,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1604,"Impulse (Impulse, #1)",Ellen Hopkins,en-US,2007,4.29,59804,1416903569,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1605,Ivanhoe,Walter Scott,eng,1819,3.75,65828,140436588,https://images.gr-assets.com/books/1405336818m/6440.jpg
1606,"Ten Big Ones (Stephanie Plum, #10)",Janet Evanovich,en-US,2004,4.13,76052,312936222,https://images.gr-assets.com/books/1171076278m/86663.jpg
1607,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,eng,1996,4.19,56191,446690457,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1608,"Paranormalcy (Paranormalcy, #1)",Kiersten White,eng,2010,3.91,79959,61985848,https://images.gr-assets.com/books/1496938681m/7719245.jpg
1609,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",Mark Cotta Vaz,en-US,2010,4.44,50084,316087378,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1610,The Shoemaker's Wife,Adriana Trigiani,eng,2012,3.98,53378,61257095,https://images.gr-assets.com/books/1329256279m/13127599.jpg
1611,"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,,2006,4.16,79266,1590387422,https://images.gr-assets.com/books/1386633982m/784911.jpg
1612,"The Next Always (Inn BoonsBoro, #1)","Nora Roberts, MacLeod Andrews",,2011,4.11,54777,1455806854,https://images.gr-assets.com/books/1491591796m/10305231.jpg
1613,What I Talk About When I Talk About Running,"Haruki Murakami, Philip Gabriel",eng,2007,3.79,49344,307269191,https://images.gr-assets.com/books/1473397159m/2195464.jpg
1614,"We'll Always Have Summer (Summer, #3)",Jenny Han,en-US,2011,4.17,68112,1416995587,https://images.gr-assets.com/books/1327054226m/8680278.jpg
1615,Open,"Andre Agassi, J.R. Moehringer",eng,2009,4.18,47185,307268195,https://images.gr-assets.com/books/1320520930m/6480781.jpg
1616,"Stormbreaker (Alex Rider, #1)",Anthony Horowitz,eng,2000,3.97,67602,014240165X,https://images.gr-assets.com/books/1288354739m/136782.jpg
1617,"Without Fail (Jack Reacher, #6)","Lee Child, Dick Hill",eng,2002,4.16,53411,1590860624,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1618,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone",en-US,1993,4.6,55556,842377506,https://images.gr-assets.com/books/1459567327m/95617.jpg
1619,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)",Stephenie Meyer,eng,2005,4.31,56827,031613290X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1620,A Scanner Darkly,Philip K. Dick,eng,1977,4.04,54014,057507681X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1621,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,,2008,3.95,55889,1594488843,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1622,A Connecticut Yankee in King Arthur's Court,Mark Twain,eng,1889,3.76,50112,1416534733,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1623,Batman: The Long Halloween,"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings",eng,1997,4.29,54781,1563894696,https://images.gr-assets.com/books/1350137101m/106069.jpg
1624,Nausea,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",eng,1938,3.91,50876,811201880,https://images.gr-assets.com/books/1377674928m/298275.jpg
1625,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,eng,2001,3.93,50215,785268839,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1626,"Secrets of the Dragon Sanctuary (Fablehaven, #4)",Brandon Mull,eng,2009,4.35,60744,1606410423,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1627,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,eng,2006,4.14,74747,312349486,https://images.gr-assets.com/books/1316727699m/3507.jpg
1628,"Wool (Wool, #1)",Hugh Howey,eng,2011,4.12,59191,,https://images.gr-assets.com/books/1327889474m/12287209.jpg
1629,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,eng,1970,4.07,61457,689845367,https://images.gr-assets.com/books/1417900879m/13662.jpg
1630,"Turn Coat (The Dresden Files, #11)",Jim Butcher,en-US,2009,4.45,64089,451462564,https://images.gr-assets.com/books/1304027128m/3475161.jpg
1631,The Sign of Four,"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert",eng,1890,3.96,60469,140439072,https://images.gr-assets.com/books/1299346921m/608474.jpg
1632,The Mitten,Jan Brett,eng,1929,4.23,66701,039921920X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1633,"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,eng,1995,3.73,62641,096319254X,https://images.gr-assets.com/books/1301778006m/31338.jpg
1634,"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael Scott,eng,2008,4.09,67539,385733585,https://images.gr-assets.com/books/1320396250m/2402971.jpg
1635,"Click, Clack, Moo: Cows That Type","Doreen Cronin, Betsy Lewin",eng,1999,4.23,67171,689832133,https://images.gr-assets.com/books/1423222939m/766955.jpg
1636,"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,en-US,2008,4.36,83051,441015662,https://images.gr-assets.com/books/1358229529m/1412138.jpg
1637,"Anna Dressed in Blood (Anna, #1)",Kendare Blake,en-US,2011,3.96,72732,765328658,https://images.gr-assets.com/books/1398637405m/9378297.jpg
1638,"Temple of the Winds (Sword of Truth, #4)","Terry Goodkind, Dick Hill",,1997,4.03,57476,1423321677,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1639,The True Confessions of Charlotte Doyle,Avi,eng,1990,3.81,67608,380714752,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1640,A Reliable Wife,Robert Goolrick,en-US,2009,3.25,58348,1565125967,https://images.gr-assets.com/books/1404576577m/4929705.jpg
1641,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,eng,1962,3.95,64813,380729407,https://images.gr-assets.com/books/1409596011m/248596.jpg
1642,Song of Solomon,Toni Morrison,eng,1977,4.01,59756,140003342X,https://images.gr-assets.com/books/1451448230m/11334.jpg
1643,Red Storm Rising,Tom Clancy,,1986,4.14,54930,394298667,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1644,Peace Like a River,Leif Enger,en-US,2001,3.98,59642,802139256,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1645,Rant,Chuck Palahniuk,en-US,2007,3.82,49255,385517874,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1646,"Shadow of the Hegemon (Ender's Shadow, #2)",Orson Scott Card,en-US,2000,3.93,58991,812565959,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1647,تراب الماس,أحمد مراد,ara,2010,4.09,43016,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1648,The Poky Little Puppy (A Little Golden Book),"Janette Sebring Lowrey, Gustaf Tenggren",eng,1942,4.08,62571,307021343,https://images.gr-assets.com/books/1320424154m/505304.jpg
1649,Tara Road,Maeve Binchy,eng,1998,3.88,60154,440235596,https://images.gr-assets.com/books/1403194637m/5196.jpg
1650,The Call of the Wild/White Fang,Jack London,eng,1906,4.08,61126,1587263890,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1651,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,eng,2014,4.44,83767,,https://images.gr-assets.com/books/1375972497m/13188676.jpg
1652,"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",Ally Carter,en-US,2007,4.13,69733,1423100050,https://images.gr-assets.com/books/1342448094m/568645.jpg
1653,"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,eng,2007,4.31,84677,441014739,https://images.gr-assets.com/books/1358229157m/285205.jpg
1654,"Cold Days (The Dresden Files, #14)",Jim Butcher,en-US,2012,4.51,57779,451464400,https://images.gr-assets.com/books/1345145377m/12216302.jpg
1655,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",Kate Jacobs,eng,2006,3.41,60812,399154094,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1656,All Things Bright and Beautiful (All Creatures Great and Small),James Herriot,en-US,1973,4.3,57626,312330863,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1657,Infinite Jest,David Foster Wallace,en-US,1996,4.31,46742,316921173,https://images.gr-assets.com/books/1446876799m/6759.jpg
1658,"Tangled (Tangled, #1)",Emma Chase,eng,2013,4.12,59705,,https://images.gr-assets.com/books/1375808439m/18297707.jpg
1659,The Day of the Triffids,John Wyndham,eng,1951,4,58945,812967127,https://images.gr-assets.com/books/1320530145m/530965.jpg
1660,The Sisters Brothers,"Patrick deWitt, Marcelo Barbão",eng,2011,3.83,51694,62041266,https://images.gr-assets.com/books/1291999900m/9850443.jpg
1661,Secret Daughter,Shilpi Somaya Gowda,en-US,2010,3.97,52734,61922315,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1662,Fantastic Mr. Fox,"Roald Dahl, Quentin Blake",eng,1970,4.03,66015,375822070,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1663,Brida,"Paulo Coelho, Montserrat Mira",por,1990,3.46,45905,9504915248,https://images.gr-assets.com/books/1403772793m/68591.jpg
1664,A Room of One's Own,Virginia Woolf,eng,1929,4.1,59868,141183535,https://images.gr-assets.com/books/1327883012m/18521.jpg
1665,"Warbreaker (Warbreaker, #1)",Brandon Sanderson,eng,2009,4.22,55948,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1666,Shakespeare's Sonnets,"William Shakespeare, Katherine Duncan-Jones",en-US,1592,4.24,58291,1903436575,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1667,What Happened to Goodbye,Sarah Dessen,eng,2011,3.97,69636,670012947,https://images.gr-assets.com/books/1347810788m/8492856.jpg
1668,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,eng,2015,4.46,90202,1627792120,https://images.gr-assets.com/books/1500689111m/23437156.jpg
1669,"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,eng,2005,3.65,66950,60541431,https://images.gr-assets.com/books/1375030179m/17020.jpg
1670,Same Kind of Different as Me,"Ron Hall, Denver Moore, Lynn Vincent",en-US,2005,4.21,52964,849900417,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1671,Carry On,Rainbow Rowell,eng,2015,4.19,46197,1250049555,https://images.gr-assets.com/books/1429810397m/23734628.jpg
1672,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",Tracy Kidder,eng,2003,4.21,53019,812973011,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1673,"Beneath This Man (This Man, #2)",Jodi Ellen Malpas,eng,2013,4.3,44170,,https://images.gr-assets.com/books/1372773964m/18149927.jpg
1674,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,eng,2011,3.87,54173,7423292,https://images.gr-assets.com/books/1327917754m/9579634.jpg
1675,The Book of Ruth,Jane Hamilton,en-US,1988,3.82,56842,385265700,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1676,Galápagos,Kurt Vonnegut Jr.,,1985,3.87,48330,385333870,https://images.gr-assets.com/books/1355012643m/9593.jpg
1677,Next,Michael Crichton,en-US,2006,3.48,53487,60872985,https://images.gr-assets.com/books/1358010468m/7661.jpg
1678,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,eng,2002,4.1,61613,689852231,https://images.gr-assets.com/books/1401734230m/13376.jpg
1679,Leaves of Grass,Walt Whitman,eng,1855,4.12,57763,1416523715,https://images.gr-assets.com/books/1418012204m/27494.jpg
1680,"Blue Dahlia (In the Garden, #1)",Nora Roberts,eng,2004,4.11,57413,749935332,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1681,Lady Chatterley's Lover,"D.H. Lawrence, Doris Lessing, Chester Brown",eng,1928,3.49,46541,014303961X,https://images.gr-assets.com/books/1425007748m/32067.jpg
1682,"The Magician King (The Magicians, #2)",Lev Grossman,en-US,2011,3.9,52061,043402080X,https://images.gr-assets.com/books/1316177353m/10079321.jpg
1683,Liar's Poker,Michael   Lewis,en-US,1989,4.16,22315,140143459,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1684,The Richest Man in Babylon,George S. Clason,eng,1926,4.23,50206,451205367,https://images.gr-assets.com/books/1348336780m/1052.jpg
1685,Salem Falls,Jodi Picoult,en-US,2001,3.8,59930,743418719,https://images.gr-assets.com/books/1344397557m/10915.jpg
1686,Belgarath the Sorcerer,"David Eddings, Leigh Eddings",en-US,1995,4.07,59737,345403959,https://images.gr-assets.com/books/1333692194m/189802.jpg
1687,The Great Dune Trilogy  ,Frank Herbert,en-GB,1977,4.35,51454,575070706,https://images.gr-assets.com/books/1419962914m/53764.jpg
1688,My Name Is Lucy Barton,"Elizabeth Strout, Goran Skrobonja",eng,2016,3.51,49578,1400067693,https://images.gr-assets.com/books/1450653428m/25893709.jpg
1689,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,eng,2007,4.06,65409,553805487,https://images.gr-assets.com/books/1347309330m/1158967.jpg
1690,"Ghost Story (The Dresden Files,  #13)",Jim Butcher,eng,2011,4.25,59657,045146379X,https://images.gr-assets.com/books/1329104700m/8058301.jpg
1691,Narrative of the Life of Frederick Douglass,Frederick Douglass,eng,1845,3.97,55576,1580495761,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1692,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,"Greg Behrendt, Liz Tuccillo",eng,2004,3.65,49015,141694740X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1693,"Pawn of Prophecy (The Belgariad, #1)",David Eddings,eng,1982,4.16,67451,345468643,https://images.gr-assets.com/books/1391346857m/44659.jpg
1694,"Lean Mean Thirteen (Stephanie Plum, #13)",Janet Evanovich,en-US,2007,4.08,73839,312349491,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1695,The Jungle Books,"Rudyard Kipling, Alev Lytle Croutier",eng,1895,4,68750,451529758,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1696,"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,en-US,2006,3.92,77454,451219945,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1697,Captivating: Unveiling the Mystery of a Woman's Soul,"John Eldredge, Stasi Eldredge",en-US,2004,3.93,30395,785264698,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1698,The Dark Tower: The Gunslinger Born,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",eng,2007,4.18,60746,785121447,https://images.gr-assets.com/books/1489721554m/342445.jpg
1699,The Lake House,Kate Morton,eng,2015,4.04,46348,,https://images.gr-assets.com/books/1455089249m/21104828.jpg
1700,A Tale for the Time Being,Ruth Ozeki,eng,2013,3.98,51580,670026638,https://images.gr-assets.com/books/1463767452m/15811545.jpg
1701,"I Hope They Serve Beer in Hell (Tucker Max, #1)",Tucker Max,,2006,3.51,46092,806527285,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1702,"Rule (Marked Men, #1)","Jay Crownover, Charlotte Connan de vries",eng,2012,4.16,79077,,https://images.gr-assets.com/books/1357012113m/17200687.jpg
1703,"South of the Border, West of the Sun","Haruki Murakami, Philip Gabriel",eng,1992,3.87,47812,99448572,https://images.gr-assets.com/books/1443685506m/17799.jpg
1704,Mother Night,Kurt Vonnegut Jr.,en-US,1961,4.21,52249,385334141,https://images.gr-assets.com/books/1344621657m/9592.jpg
1705,Influence: The Psychology of Persuasion,Robert B. Cialdini,eng,1984,4.18,45874,006124189X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1706,The Fall of the House of Usher and Other Tales ,"Edgar Allan Poe, Stephen Marlowe",,1960,4.14,57265,451526759,https://images.gr-assets.com/books/1355276847m/32559.jpg
1707,Harriet the Spy (Harriet the Spy #1),Louise Fitzhugh,eng,1964,3.96,77575,440416795,https://images.gr-assets.com/books/1320540825m/232576.jpg
1708,The Paying Guests,Sarah Waters,en-US,2014,3.39,44839,1594633118,https://images.gr-assets.com/books/1396671788m/20821087.jpg
1709,"Forever Odd (Odd Thomas, #2)",Dean Koontz,en-US,2005,3.96,54958,553588265,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1710,At Home: A Short History of Private Life,Bill Bryson,eng,2010,3.96,55296,767919386,https://images.gr-assets.com/books/1372727082m/7507825.jpg
1711,Sushi for Beginners,Marian Keyes,,2000,3.69,55373,60555955,https://images.gr-assets.com/books/1407709390m/82748.jpg
1712,"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,eng,2005,3.91,59317,312948557,https://images.gr-assets.com/books/1324373974m/338691.jpg
1713,"Watermelon (Walsh Family, #1)",Marian Keyes,,1995,3.79,55841,99489988,https://images.gr-assets.com/books/1345767584m/9300.jpg
1714,The Kitchen God's Wife,Amy Tan,en-US,1991,3.98,58836,143038109,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1715,Let the Right One In,John Ajvide Lindqvist,eng,2004,4.07,52518,1847241697,https://images.gr-assets.com/books/1327893384m/943402.jpg
1716,"The Rise of Nine (Lorien Legacies, #3)",Pittacus Lore,eng,2012,4.2,70196,61974587,https://images.gr-assets.com/books/1331740153m/12971616.jpg
1717,Essential Tales and Poems,"Edgar Allan Poe, Benjamin F. Fisher",en-US,1849,4.35,59354,1593080646,https://images.gr-assets.com/books/1328753072m/32552.jpg
1718,"The Second Summer of the Sisterhood (Sisterhood, #2)",Ann Brashares,en-US,2003,3.78,67357,385731051,https://images.gr-assets.com/books/1467700995m/5454.jpg
1719,Phantoms,Dean Koontz,en-US,1983,3.93,56287,425181103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1720,Amy & Roger's Epic Detour,Morgan Matson,eng,2010,4.05,65273,1416990658,https://images.gr-assets.com/books/1327989202m/7664334.jpg
1721,My Utmost for His Highest,Oswald Chambers,eng,1926,4.39,47720,1586608290,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1722,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,eng,2003,4.25,63635,60012382,https://images.gr-assets.com/books/1443764106m/34494.jpg
1723,"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,eng,2014,4.5,46663,385344430,https://images.gr-assets.com/books/1365173799m/11710373.jpg
1724,Nightshade (Nightshade #1; Nightshade World #4),Andrea Cremer,eng,2010,4.03,69534,039925482X,https://images.gr-assets.com/books/1333400218m/7402393.jpg
1725,Alice's Adventures in Wonderland,"Lewis Carroll, John Tenniel",eng,1865,3.99,30426,,https://images.gr-assets.com/books/1391204048m/6324090.jpg
1726,"Dragon Rider (Dragon Rider, #1)",Cornelia Funke,eng,1997,3.94,61387,190444248X,https://images.gr-assets.com/books/1328004947m/100464.jpg
1727,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,en-US,1988,4.05,59276,671742515,https://images.gr-assets.com/books/1388257271m/357.jpg
1728,Uprooted,Naomi Novik,eng,2015,4.13,61454,804179034,https://images.gr-assets.com/books/1480121122m/22544764.jpg
1729,Seveneves,Neal Stephenson,eng,2015,3.98,44612,,https://images.gr-assets.com/books/1449142000m/22816087.jpg
1730,Armada,Ernest Cline,en-GB,2015,3.49,49958,804137250,https://images.gr-assets.com/books/1377284428m/16278318.jpg
1731,"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,eng,2010,4.24,53143,345503813,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1732,The Man in the Brown Suit,Agatha Christie,eng,1924,3.97,56053,7151667,https://images.gr-assets.com/books/1390018729m/209194.jpg
1733,The Summons,John Grisham,eng,2002,3.68,53304,385339593,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1734,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,eng,1959,4.36,50142,078670621X,https://images.gr-assets.com/books/1391329559m/139069.jpg
1735,"Size 12 Is Not Fat (Heather Wells, #1)",Meg Cabot,en-US,2005,3.75,66089,60525118,https://images.gr-assets.com/books/1259077761m/23220.jpg
1736,Dark Matter,Blake Crouch,eng,2016,4.11,63814,1101904224,https://images.gr-assets.com/books/1472119680m/27833670.jpg
1737,"Glass Sword (Red Queen, #2)",Victoria Aveyard,eng,2016,3.95,78405,62310666,https://images.gr-assets.com/books/1436460934m/23174274.jpg
1738,When You Reach Me,Rebecca Stead,en-US,2009,4.08,64430,385737424,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1739,The Bonfire of the Vanities,Tom Wolfe,eng,1987,3.81,52062,553381342,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1740,In the Unlikely Event,Judy Blume,eng,2015,3.51,40885,1101875046,https://images.gr-assets.com/books/1421711380m/23899174.jpg
1741,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,eng,1937,4.06,64949,553119222,https://images.gr-assets.com/books/1486837149m/131359.jpg
1742,"Shiloh (Shiloh, #1)",Phyllis Reynolds Naylor,eng,1991,3.91,59585,689862229,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1743,"Siege and Storm (Shadow and Bone, #2)",Leigh Bardugo,eng,2013,4.08,78658,805094601,https://images.gr-assets.com/books/1362166252m/14061955.jpg
1744,"The Redbreast (Harry Hole, #3)","Jo Nesbø, Don Bartlett",eng,2000,3.94,49999,184343217X,https://images.gr-assets.com/books/1320540474m/465226.jpg
1745,"Leviathan (Leviathan, #1)",Scott Westerfeld,en-US,2009,3.91,69065,1416971734,https://images.gr-assets.com/books/1275694232m/6050678.jpg
1746,Hide and Seek,James Patterson,en-US,1995,4.1,53038,6498523,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1747,The Love Dare,"Stephen Kendrick, Alex Kendrick",en-US,2008,4.37,41908,805448659,https://images.gr-assets.com/books/1328815507m/4499669.jpg
1748,Goodnight Nobody,Jennifer Weiner,en-US,2005,3.64,51748,743470125,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1749,The Death and Life of Charlie St. Cloud,Ben Sherwood,eng,2004,4.01,46361,330488902,https://images.gr-assets.com/books/1329827169m/263050.jpg
1750,How to Stop Worrying and Start Living,Dale Carnegie,en-GB,1944,4.08,46797,671035975,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1751,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,en-US,1994,4.21,56901,515114693,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1752,Animal Dreams,Barbara Kingsolver,eng,1990,4.05,51007,60921145,https://images.gr-assets.com/books/1481663395m/77262.jpg
1753,"Reason to Breathe (Breathing, #1)",Rebecca Donovan,eng,2011,4.23,68676,,https://images.gr-assets.com/books/1329013365m/11561469.jpg
1754,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,eng,2009,4.57,55518,1416997857,https://images.gr-assets.com/books/1312016549m/6485421.jpg
1755,"If Tomorrow Comes (Tracy Whitney Series, #1)",Sidney Sheldon,eng,1985,4.01,44722,6479677,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1756,M.C. Escher: The Graphic Work,"M.C. Escher, Bruce Brooks Pfeiffer",eng,1956,3.93,50047,3822858641,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1757,Pope Joan,Donna Woolfolk Cross,eng,1996,4.06,51385,345416260,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1758,Birdsong,Sebastian Faulks,eng,1993,4.07,49930,679776818,https://images.gr-assets.com/books/1349952101m/6259.jpg
1759,"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,en-US,2000,4.11,53676,081257639X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1760,"Keys to the Demon Prison (Fablehaven, #5)",Brandon Mull,eng,2010,4.42,58481,1606412388,https://images.gr-assets.com/books/1298081448m/7243142.jpg
1761,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,eng,2011,3.85,48816,159420229X,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
